method,data_input,Basin,data_row_count,feature_quantity,feature_list,kernel_options,best_kernel,c_options,best_c,epsilon_options,best_epsilon,Explained Variance,MSE,RMSE,MAE,R2,Predicted Values ±5% of Actual,Predicted Values ±15% of Actual,Predicted Values ±25% of Actual,Predicted Values ±50% of Actual,results_min%_difference,results_max%_difference,0.25_quantile_loss,0.5_quantile_loss,0.75_quantile_loss,cross_val_mse
svr,no_pca,Appalachian,652,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,3942.02,2211.78,47.03,21.64,0.44,23.31,55.83,68.1,82.21,0.02,5104.98,3.47,8.18,22.77,2935.84
svr,no_pca,Permian,481,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",5,"[0.01, 0.05, 0.1, 0.2]",0.2,4106.05,3642.26,60.35,15.25,0.11,9.09,31.4,47.11,78.51,0.22,2307.57,2.28,5.93,9.39,974.04
svr,no_pca,Oklahoma Platform,254,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,308.4,204.47,14.3,9.81,0.34,10.94,35.94,51.56,64.06,0.34,578.74,2.22,4.88,16.1,167.21
svr,no_pca,Gulf Coast,888,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,19313.62,12706.06,112.72,17.41,0.34,50.9,71.62,77.93,89.19,0.05,1669.57,0.98,2.66,10.0,4516.57
svr,no_pca,Williston,502,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",poly,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,2013.45,332127.06,576.3,67.03,-163.95,17.46,41.27,59.52,76.19,0.22,152831.91,2.73,6.24,14.97,2751.7
svr,no_pca,Michigan,150,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.01,338.18,122.05,11.05,7.9,0.64,21.05,31.58,47.37,84.21,0.81,903.39,2.2,6.33,9.39,167.56
svr,no_pca,Pacific,145,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",10,"[0.01, 0.05, 0.1, 0.2]",0.05,8.38,2.6,1.61,0.97,0.69,13.51,43.24,56.76,75.68,0.28,5444.16,0.16,0.42,1.07,1.38
svr,no_pca,Illinois,25,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",poly,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,155.89,71.71,8.47,6.74,0.54,14.29,28.57,28.57,71.43,0.37,522.25,3.35,6.02,9.28,52.75
svr,no_pca,Great Plains,62,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",5,"[0.01, 0.05, 0.1, 0.2]",0.05,30765.01,33527.38,183.1,47.89,-0.09,56.25,93.75,93.75,93.75,1.22,238.33,0.56,1.34,4.02,8.9
svr,no_pca,Anadarko,262,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.2,8090.75,5862.14,76.56,20.63,0.28,25.76,57.58,63.64,75.76,0.04,1057.47,1.19,3.18,10.57,9192.79
svr,no_pca,Rocky Mountain,693,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",rbf,"[0.1, 0.5, 1, 5, 10, 50]",50,"[0.01, 0.05, 0.1, 0.2]",0.01,175.57,25.5,5.05,2.3,0.85,20.11,49.43,63.79,88.51,0.16,917.13,0.53,1.21,2.62,44.47
svr,no_pca,Fort Worth,17,15,"['TDS', 'DEPTHUPPER', 'B', 'Ba', 'Br', 'HCO3', 'Ca', 'Cl', 'FeTot', 'K', 'Mg', 'Na', 'SO4', 'Sr', 'Zn']","['rbf', 'poly', 'sigmoid']",sigmoid,"[0.1, 0.5, 1, 5, 10, 50]",10,"[0.01, 0.05, 0.1, 0.2]",0.2,1038.83,938.98,30.64,20.83,0.1,0.0,0.0,0.0,40.0,78.3,742.52,5.42,12.97,15.74,56.8
